Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8986666666666666,0.9136363636363637,0.9463276836158192,0.9296947271045328,0.9574895303941044
Random Forest,0.9346666666666666,0.9564393939393939,0.9510357815442562,0.9537299338999056,0.989533618828952
